job,salary,company
人力资源专员/助理,6-8K,亦庄文化科技中心
人力资源专员/助理,4-6K,汉克时代
人力资源专员/助理,3-6K,源石财富
人力资源专员/助理,4-6K,北煜中联
人力资源专员/助理,15-30K,恒安标准人寿北分
销售经理,7-14K,怪兽充电
销售经理,10-15K,宜信公司
IT-销售经理,6-11K,宝德计算机
销售经理,15-30K,中国平安
销售经理,15-30K,北京源石财富
销售经理,10-20K,华信金融
销售经理,16-30K,北京链家
销售经理,20-40K,中国平安综合金融集团
销售专员,8-16K,中国平安
销售代表,8-12K,天津承远房地产
销售专员,7-12K,中信信用卡北京分中心
销售专员,9-14K,中国平安
销售专员,20-33K,四正投资
销售代表,10-20K,中信银行信用卡(北京)
销售专员,5-10K,四正投资
市场推广,6-8K,北京学之沐
市场推广,6-10K,七田真
市场推广,8-13K,TutorABC
市场推广,10-15K,交通银行
市场推广,6-9K,中公教育
官网市场推广专员,4-8K·13薪,联想集团
总裁/总经理/董事长助理,10-15K,嘉信资源
总裁/总经理/董事长助理,5-10K,亚虎有限公司
总裁/总经理/董事长助理,16-21K,锦绣家居
总裁/总经理/董事长助理,8-13K,量子资产
财务顾问,5-6K,奥盈
售前顾问（财务信息化）,16-26K,远光软件
财务咨询顾问,17-24K,北京通华大地网络...
财务咨询顾问,20-40K,勤威咨询
编辑文案写手,7-13K,达闼科技
文案,4-8K,晚安科技
产品运营高级经理,30-50K,滴滴
产品总监,15-30K,金榜题名
产品总监,30-60K·16薪,姿美堂
商业产品总监 (MJ000785),100-110K·15薪,马蜂窝
产品总监,30-60K,点点未来
产品总监,20-35K,长亭科技
产品总监/经理,20-40K,微医集团
优选产品总监,10-15K,星宏电讯
产品总监,45-65K,好未来
数据产品总监,40-80K,马蜂窝
产品总监,12-18K,神玉
产品总监,35-40K·14薪,智慧互通
新媒体运营,8-12K,厨芯
新媒体运营,6-8K,天道教育集团
新媒体运营,10-15K,Boss直聘
新媒体运营专员,5-10K,意悠朵美胸
新媒体运营,6-10K,玖小时
新媒体运营,7-12K,上海轻凝文化
新媒体运营专员,8-10K,新航道国际教育集团
新媒体运营,10-15K,丽家宝贝
新媒体运营,1-6K,百度
新媒体运营经理,12-20K·14薪,58到家
新媒体运营专员,7-9K,新航道国际教育集团
web前端,20-40K,滴滴出行
web前端,10-15K,北信工
web前端,20-40K,京东集团
WEB前端,20-35K,掌通未来科技
